interview_id,mae_recruiter,mae_owner
intv_0001,3.1666666666666665,3.3333333333333335
intv_0002,3.1666666666666665,1.3333333333333333
intv_0003,2.6666666666666665,0.8333333333333334
intv_0004,1.0,3.1666666666666665
intv_0005,1.8333333333333333,2.3333333333333335
intv_0006,2.0,2.1666666666666665
intv_0007,,
intv_0008,3.0,3.1666666666666665
intv_0009,3.0,3.1666666666666665
intv_0010,2.6666666666666665,2.8333333333333335
intv_0011,1.0,3.1666666666666665
intv_0012,1.3333333333333333,3.5
intv_0013,3.0,3.1666666666666665
intv_0014,1.3333333333333333,3.1666666666666665
intv_0015,3.0,3.1666666666666665
intv_0016,1.0,1.1666666666666667
intv_0017,2.0,2.1666666666666665
intv_0018,3.1666666666666665,3.3333333333333335
intv_0019,1.3333333333333333,3.5
intv_0020,2.5,2.6666666666666665
intv_0021,1.6666666666666667,2.1666666666666665
intv_0022,3.1666666666666665,1.3333333333333333
intv_0023,3.1666666666666665,3.3333333333333335
intv_0024,1.1666666666666667,2.6666666666666665
intv_0025,3.0,1.1666666666666667
intv_0026,3.0,3.1666666666666665
intv_0027,1.0,1.1666666666666667
intv_0028,3.1666666666666665,3.3333333333333335
intv_0029,1.1666666666666667,3.3333333333333335
intv_0030,1.1666666666666667,3.3333333333333335
intv_0031,3.0,3.1666666666666665
intv_0032,3.0,3.1666666666666665
intv_0033,3.0,3.1666666666666665
intv_0034,3.0,3.1666666666666665
intv_0035,3.1666666666666665,3.3333333333333335
intv_0036,1.1666666666666667,3.3333333333333335
intv_0037,1.1666666666666667,1.0
intv_0038,1.1666666666666667,3.3333333333333335
intv_0039,2.8333333333333335,1.0
intv_0040,1.0,3.1666666666666665
intv_0041,1.8333333333333333,2.3333333333333335
intv_0042,1.1666666666666667,1.3333333333333333
intv_0043,1.0,3.1666666666666665
intv_0044,1.0,1.1666666666666667
intv_0045,1.1666666666666667,3.3333333333333335
intv_0046,3.5,1.6666666666666667
intv_0047,3.1666666666666665,3.3333333333333335
intv_0048,1.0,1.1666666666666667
intv_0049,2.0,2.1666666666666665
intv_0050,1.1666666666666667,1.3333333333333333
