interview_id,ca_score_agg,ca_confidence,exp_score_agg,exp_confidence,ps_score_agg,ps_confidence,rel_score_agg,rel_confidence,prof_score_agg,prof_confidence,comm_score_agg,comm_confidence,overall_weighted_agg,p95_latency_ms
intv_0001,9,high,8,high,8,high,8,high,8,high,8,high,8.35,2092.1
intv_0002,8,high,8,high,8,high,9,high,8,high,8,high,8.05,1535.7
intv_0003,8,high,8,high,7,high,8,high,7,high,8,high,7.8,2488.4
intv_0004,8,high,8,high,8,high,8,high,8,high,8,high,8.0,1786.3
intv_0005,6,high,5,high,6,high,8,high,8,high,8,high,5.95,1706.0
intv_0006,6,high,7,high,7,high,8,high,7,high,7,high,6.7,1642.6
intv_0007,6,high,7,high,6,high,8,high,7,high,8,high,6.6,1720.0
intv_0008,8,high,8,high,8,high,8,high,8,high,8,high,8.0,1848.9
intv_0009,8,high,8,high,8,high,8,high,8,high,8,high,8.0,1936.9
intv_0010,8,high,8,high,7,high,8,high,7,high,8,high,7.8,1759.5
intv_0011,8,high,8,high,8,high,8,high,8,high,8,high,8.0,1545.9
intv_0012,9,high,9,high,8,high,8,high,8,high,8,high,8.7,1635.5
intv_0013,8,high,8,high,8,high,8,high,8,high,8,high,8.0,1514.6
intv_0014,8,high,9,high,8,high,8,high,7,high,8,high,8.3,1590.9
intv_0015,8,high,8,high,8,high,8,high,8,high,8,high,8.0,1561.7
intv_0016,8,high,8,high,8,high,8,high,8,high,8,high,8.0,1495.7
intv_0017,5,high,4,high,5,medium,8,high,7,high,9,high,5.1,1662.7
intv_0018,8,high,8,high,8,high,9,high,8,high,8,high,8.05,1579.6
intv_0019,9,high,8,high,8,high,8,high,8,high,9,high,8.4,1489.9
intv_0020,7,high,6,medium,8,high,8,high,8,high,8,high,6.95,1603.1
intv_0021,8,high,5,low,5,low,7,medium,7,high,8,high,6.4,1700.5
intv_0022,8,high,9,high,8,high,8,high,8,high,8,high,8.35,1814.4
intv_0023,8,high,8,high,8,high,9,high,8,high,8,high,8.05,1704.8
intv_0024,8,high,6,high,7,high,8,high,8,high,8,high,7.15,1661.7
intv_0025,8,high,8,high,8,high,8,high,8,high,8,high,8.0,1732.3
intv_0026,8,high,8,high,8,high,8,high,8,high,8,high,8.0,1754.3
intv_0027,8,high,8,high,8,high,8,high,8,high,8,high,8.0,1526.6
intv_0028,8,high,8,high,8,high,8,high,8,high,9,high,8.05,1580.9
intv_0029,8,high,9,high,8,high,8,high,8,high,8,high,8.35,1505.3
intv_0030,8,high,8,high,8,high,8,high,8,high,9,high,8.05,1708.9
intv_0031,8,high,8,high,8,high,8,high,8,high,8,high,8.0,1631.8
intv_0032,8,high,8,high,8,high,8,high,8,high,8,high,8.0,1554.1
intv_0033,8,high,8,high,8,high,8,high,8,high,8,high,8.0,1690.2
intv_0034,8,high,8,high,8,high,8,high,8,high,8,high,8.0,1648.9
intv_0035,8,high,8,high,8,high,9,high,8,high,8,high,8.05,1628.6
intv_0036,8,high,8,high,8,high,8,high,8,high,9,high,8.05,1740.5
intv_0037,8,high,8,high,8,high,8,high,7,high,8,high,7.95,1717.5
intv_0038,8,high,8,high,8,high,9,high,8,high,8,high,8.05,1557.6
intv_0039,7,high,8,medium,8,high,8,high,8,high,8,high,7.65,1421.4
intv_0040,8,high,8,high,8,high,8,high,8,high,8,high,8.0,1797.9
intv_0041,6,medium,3,medium,5,high,8,high,7,high,8,high,5.05,1845.8
intv_0042,9,high,8,high,8,high,8,high,8,high,8,high,8.35,1735.1
intv_0043,8,high,8,high,8,high,8,high,8,high,8,high,8.0,1500.2
intv_0044,8,high,8,high,8,high,8,high,8,high,8,high,8.0,1494.6
intv_0045,8,high,8,high,8,high,8,high,8,high,9,high,8.05,1657.5
intv_0046,9,high,8,high,8,high,9,high,8,high,9,high,8.45,1613.6
intv_0047,9,high,8,high,8,high,8,high,7,high,9,high,8.35,1498.1
intv_0048,9,high,8,high,8,high,8,high,8,high,7,high,8.3,1674.4
intv_0049,6,high,4,low,4,high,7,medium,8,high,7,high,5.2,1699.5
intv_0050,8,high,9,high,8,high,8,high,8,high,8,high,8.35,1724.1
